collection,lesson,review_url
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-48-medicine,https://mdn.illops.net/vietnamesepod101/S_S1L48_120312_vpod101_review.mp3
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-49-vietnamese-for-getting-help-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L49_121012_vpod101_review.mp3
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-46-survival-for-vegetarians-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L46_111912_vpod101_review.mp3
before-you-travel-southern-vietnamese-survival-phrases,survival-phrases-s2-34-how-do-you-read-this-in-southern-vietnamese,https://mdn.illops.net/vietnamesepod101/S_S2L34_030116_vpod101_review.mp3
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-50-avoid-getting-caught-in-the-rain-with-weather-vocabulary,https://mdn.illops.net/vietnamesepod101/S_S1L50_121712_vpod101_review.mp3
make-comparisons-and-appointments-lower-beginner-vietnamese,lower-beginner-25-can-you-help-me-redesign-this-vietnamese-website,https://mdn.illops.net/vietnamesepod101/LB_S1L25_122214_vpod101_review.mp3
flexing-your-fluency,advanced-audio-blog-1-top-10-vietnamese-regions-and-cities-hanoi,https://mdn.illops.net/vietnamesepod101/A_S1L1_010512_vpod101_review.mp3
daily-conversations-in-vietnamese-beginner,beginner-25-making-a-delicious-vietnamese-dish,https://mdn.illops.net/vietnamesepod101/B_S1L25_122115_vpod101_review.mp3
top-400-activities-daily-routines-in-vietnamese,in-the-morning,-1
before-you-travel-to-northern-vietnamese-survival-phrases,survival-phrases-47-using-vietnamese-to-get-medical-help,https://mdn.illops.net/vietnamesepod101/S_S1L47_112612_vpod101_review.mp3
daily-conversations-in-vietnamese-beginner,beginner-23-asking-about-business-hours-in-vietnamese,https://mdn.illops.net/vietnamesepod101/B_S1L23_120715_vpod101_review.mp3
sound-like-a-native-vietnamese-pronunciation,pronunciation-5-common-vietnamese-pronunciation-mistakes,-1
vietnamese-vocab-builder,natural-science-fields,-1
culture-class-holidays-in-vietnam,vietnamese-womens-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L13_033015_vpod101_review.mp3
all-about-vietnamese-culture-and-society,all-about-15-top-5-vietnamese-phrases-from-the-hosts,-1
all-about-vietnamese-culture-and-society,all-about-13-top-5-phrases-your-teacher-will-never-teach-you,-1
learn-with-pictures,get-your-vegetables,-1
daily-conversations-in-vietnamese-beginner,beginner-24-how-much-meat-do-you-want-at-the-vietnamese-market,https://mdn.illops.net/vietnamesepod101/B_S1L24_121415_vpod101_review.mp3
culture-class-holidays-in-vietnam,new-years-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L1_010515_vpod101_review.mp3
culture-class-holidays-in-vietnam,hue-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L14_040615_vpod101_review.mp3
learn-with-pictures,facial-features,-1
learn-with-pictures,computers,-1
all-about-vietnamese-culture-and-society,all-about-14-top-5-vietnamese-classroom-phrases,-1
learn-with-pictures,marine-animals,-1
learn-with-pictures,geography,-1
learn-with-pictures,farm-animals,-1
learn-with-pictures,numbers,-1
learn-with-pictures,colors,-1
learn-with-pictures,at-home,-1
learn-with-pictures,sports,-1
learn-with-pictures,drinks,-1
learn-with-pictures,school-subjects,-1
learn-with-pictures,in-a-room,-1
learn-with-pictures,jobs,-1
learn-with-pictures,travel,-1
learn-with-pictures,at-school,-1
learn-with-pictures,in-the-bookstore,-1
learn-with-pictures,weather-forecast-says,-1
learn-with-pictures,all-parts-of-the-body,-1
learn-with-pictures,getting-around-in-vehicles,-1
learn-with-pictures,in-the-city,-1
learn-with-pictures,get-your-fruit,-1
all-about-vietnamese-culture-and-society,all-about-12-top-5-tips-for-avoiding-common-mistakes-in-vietnamese,-1
learn-with-pictures,in-the-office,-1
all-about-vietnamese-culture-and-society,all-about-11-top-5-most-useful-tools-for-learning-vietnamese,-1
learn-with-pictures,clothing,-1
all-about-vietnamese-culture-and-society,all-about-10-top-5-things-you-need-to-know-about-vietnamese-pop-culture,-1
learn-with-pictures,cooking-in-the-kitchen,-1
all-about-vietnamese-culture-and-society,all-about-4-basic-vietnamese-pronunciation,-1
all-about-vietnamese-culture-and-society,all-about-2-the-vietnamese-writing-system,-1
all-about-vietnamese-culture-and-society,all-about-1-top-5-reasons-to-learn-vietnamese,-1
all-about-vietnamese-culture-and-society,all-about-9-top-5-important-dates-during-the-vietnamese-calendar-year,-1
all-about-vietnamese-culture-and-society,all-about-6-can-you-answer-these-5-questions-about-vietnam,-1
all-about-vietnamese-culture-and-society,all-about-3-painless-vietnamese-grammar,-1
all-about-vietnamese-culture-and-society,all-about-8-top-5-things-you-need-to-know-about-vietnamese-society,-1
all-about-vietnamese-culture-and-society,all-about-7-top-5-vietnamese-dishes,-1
all-about-vietnamese-culture-and-society,all-about-5-top-5-mustknow-phrases-for-learning-vietnamese,-1
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-2-talking-nationality-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L2_071513_vpod101_review.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-3-useful-phrases-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L3_072213_vpod101_review.mp3
asking-for-directions-in-vietnam,vietnamese-listening-comprehension-for-beginners-6-getting-vietnamese-directions,-1
asking-for-directions-in-vietnam,survival-phrases-s2-29-directions-in-southern-vietnamese-2,https://mdn.illops.net/vietnamesepod101/S_S2L29_012616_vpod101_review.mp3
asking-for-directions-in-vietnam,lower-beginner-5-finding-your-way-to-a-famous-vietnamese-tourist-attraction,https://mdn.illops.net/vietnamesepod101/LB_S1L5_080414_vpod101_review.mp3
asking-for-directions-in-vietnam,survival-phrases-s2-27-asking-where-you-can-find-something-in-southern-vietnamese,https://mdn.illops.net/vietnamesepod101/S_S2L27_011216_vpod101_review.mp3
asking-for-directions-in-vietnam,survival-phrases-28-looking-around-locally,https://mdn.illops.net/vietnamesepod101/S_S1L28_071612_vpod101_review.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-5-counting-from-1001000000-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L5_080513_vpod101_review.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-4-counting-from-1100-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L4_072913_vpod101_review.mp3
asking-for-directions-in-vietnam,survival-phrases-29-asking-directions-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L29_072312_vpod101_review.mp3
culture-class-holidays-in-vietnam,buffalo-fighting-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L24_061515_vpod101_review.mp3
asking-for-directions-in-vietnam,survival-phrases-s2-28-directions-in-southern-vietnamese-1,https://mdn.illops.net/vietnamesepod101/S_S2L28_011916_vpod101_review.mp3
culture-class-holidays-in-vietnam,phu-day-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L23_060815_vpod101_review.mp3
